,Participant,ENSG00000124813.20,ENSG00000159216.18,ENSG00000001167.14
0,pt-mv6fmz83,1075.02400542169,2893.88146160786,1364.03043835174
1,pt-pb67ypn9,838.018093591571,2882.49489372522,1498.56694693853
2,pt-ekjjfcr8,1414.76550358562,1945.88732886158,1517.04453151635
3,pt-yky3kj4e,862.06470173066,2370.26498605067,1302.99060802646
4,pt-bkgw6a6n,881.524802874971,2781.89642770355,1457.65929273114
5,pt-a2d5sks2,659.057076032529,2857.20308407934,1441.23888993342
6,pt-081x47b5,1305.22498939894,2594.00271579912,1745.06854863614
7,pt-0dxdyebh,1267.86093364057,2021.83265607544,1423.71737536618
8,pt-qc3a6b2m,1033.4517420015,1553.67499654492,1431.51615520901
9,pt-bpyxz538,1182.70835958794,2598.80062380491,1659.48383904986
10,pt-5dc3cjhq,919.412662613314,2730.06092910575,1354.10810522397
11,pt-w231qqqt,896.794658986176,2480.32288950061,1209.43370947222
12,pt-3h08s4be,1048.77551981598,2669.62747798578,1468.63644842369
13,pt-wxpyc56x,982.476060088341,2581.05577481508,1402.73688224577
14,pt-912ptny5,945.739989091464,2284.84339383332,1405.63490263834
15,pt-575ecd2w,897.89868163042,3559.65750963946,1432.42642467026
16,pt-7qpx978n,926.077619048223,2375.71028439666,1604.43946917248
17,pt-t9419ezs,720.099115462069,2561.47341661161,1072.33040896291
18,pt-w9wt572f,1134.88102847008,2049.97800814262,848.492442989261
19,pt-49a6zq98,791.783251131389,2283.356838204,964.332895070212
20,pt-d6mf7rks,1421.34895544481,2323.87781672714,1480.00323567962
21,pt-r12sdkjr,1156.77393563382,2341.35524236963,1241.53784111332
22,pt-fykp47ks,917.385536046799,3234.70630910034,1325.97360602645
23,pt-fj5ce0cq,1657.05983033507,2944.16357357644,1803.98264185917
24,pt-q389ce49,908.293452515324,2605.80761019081,1103.56921931203
25,pt-smt5vg02,1281.76893563621,2807.57625211243,1520.82063930768
26,pt-d8841eem,844.541444517281,2274.61094406236,994.579638181949
27,pt-a8xe1tfa,971.257849744139,3474.93942037721,1507.97628409057
28,pt-e6b2yrxf,488.324306439675,3557.79309244073,2123.81199961704
29,pt-qa7k86ag,948.283909415866,3008.64573582253,1269.86468489192
30,pt-48ttsfg6,1167.76096185155,2135.40865547176,1322.90291566971
31,pt-qm4yh8hy,1319.15980307969,2526.19782365416,1862.17122869037
32,pt-8e3p4q14,1254.27959963355,2141.11475751694,1124.52312776563
33,pt-606h2c6p,1019.7060093461,2347.17161827292,1272.21625192428
34,pt-txvmmjq5,947.266100634944,3175.35185009307,1343.4608677233
35,pt-ny6a6fjk,1218.8735612089,2413.07814938006,1945.16158332582
36,pt-p1ta2epw,1087.9123247165,1894.15929899532,1620.78171156518
37,pt-k2hhq40s,1631.32458467636,1995.04958233368,1778.42459493761
38,pt-w3hfgpzf,1220.70271778118,2833.71857065328,1210.55370885353
39,pt-3scpxnmx,1321.76696474996,1454.98674335295,1656.17755626136
40,pt-bp86hsfr,937.951432318053,3767.33729185932,1269.09304832502
41,pt-kv61tctq,821.943095636824,2531.33478747992,1353.47390135341
42,pt-h7nzp8vh,981.34181382058,2481.84063599209,1053.66208633073
43,pt-bca7p41c,638.095341790485,3381.05476195216,1607.42248095962
44,pt-fv43b6qj,1227.72867385351,2562.25715653717,1570.88972276856
45,pt-wx05jqwy,1063.89048606311,2329.41270219373,1366.66025230114
46,pt-vhpvt47k,987.145147623226,3205.25500015825,1298.14809374641
47,pt-0khxwj27,1456.75461938874,2142.58931881963,1358.52716474359
48,pt-xnnzp1pe,1474.40994942047,2012.04638046372,1297.7471637865
49,pt-ctrj3svn,776.03263986375,1997.34567728644,1238.31250699527
50,pt-9wk9hc18,981.405833675929,3236.95749778612,1399.23859782778
